甘榜情	Kampong Ties	2011-10-24	优酷开播:2011-10-25	新加坡	剧情 / 家庭	-	林湘萍 / 郭淑贤 / 郑各评 / 陈泓宇 / 黄慧	2,967,005	http://www.youku.com/show_page/id_z206af90ed8f811e0a046.html	30集全
财星高照	God of Fortune/赵公元帅斗瘟神	优酷开播:2011-03-05	-	新加坡	神话 / 搞笑 / 古装	-	黄文永 / 吕凉 / 刘寅 / 曹国辉 / 陈秀丽	2,441,293	http://www.youku.com/show_page/id_zcbfbf8a4962411de83b1.html	20集全
双星报喜	Double Bonus	2012-01-03	-	新加坡	神话 / 言情 / 时装	-	郑惠玉 / 谢韵仪 / 曹国辉 / 张耀栋 / 陈澍承	2,304,331	http://www.youku.com/show_page/id_z3235949e377d11e1b318.html	23集全
至尊红颜	Women Of Times	2010-06-25	优酷开播:2010-11-29	新加坡	都市 / 家庭 / 时装	-	范文芳 / 郑佩佩 / 陈汉玮 / 陈之财 / 曹国辉	2,124,848	http://www.youku.com/show_page/id_zbafd56dcda3611de97c0.html	30集全
不老传说	-	-	-	新加坡	剧情 / 悬疑	-	周初明 / 陈秀丽 / 潘玲玲 / 黄奕良 / 向云	2,091,558	http://www.youku.com/show_page/id_zcc17679c962411de83b1.html	20集全
有情有义	Brotherhood	2002-05-05	优酷开播:2014-03-10	新加坡	剧情 / 家庭 / 言情	-	陈小春 / 黄奕 / 李铭顺 / 范文芳 / 郝蕾	2,023,261	http://www.youku.com/show_page/id_zcbff55ee962411de83b1.html	28集全
三十风雨路	An Ode To Life	2004-08-10	优酷开播:2010-08-13	新加坡	家庭 / 言情 / 时装	-	黄碧仁 / 洪培兴 / 曹国辉 / 徐绮 / 张耀栋	1,970,083	http://www.youku.com/show_page/id_zcbfd2f3a962411de83b1.html	40集全
万福楼	Bountiful Bllesings	2011-08-31	优酷开播:2011-09-08	新加坡	都市 / 家庭 / 时装	-	宣萱 / 郑斌辉 / 王沺裁 / 郭淑贤 / 徐鸣杰	1,878,595	http://www.youku.com/show_page/id_ze9b0af52d39e11e0a046.html	20集全
正义武馆	Code of Honour	2011-12-06	优酷开播:2011-12-06	新加坡	剧情 / 武侠	-	瑞恩 / 黄俊雄 / 郑各评 / 绰琦 / 陈旻炜	1,793,452	http://www.youku.com/show_page/id_z20628086d8fc11e0a046.html	30集全
叮当神探	Crime Busters XZ	2009-09-30	-	新加坡	警匪 / 悬疑 / 时装	-	郑斌辉 / 姚懿珊 / 陈泓宇 / 黄文永 / 洪慧芳	1,574,411	http://www.youku.com/show_page/id_z55a248e4d71411de97c0.html	20集全
黄金路	The Golden Path	2009-05-24	-	新加坡	家庭 / 言情	-	郑斌辉 / 周初明 / 李南星 / 陈靓瑄 / 陈莉萍	1,375,649	http://www.youku.com/show_page/id_zcc16a410962411de83b1.html	30集全
煮妇的假期	-	2009-01-01	-	新加坡	家庭 / 时装	-	郭淑贤 / 洪慧芳 / 向云 / 黄炯耀 / 姚玟隆	1,297,311	http://www.youku.com/show_page/id_z578a01405e9711e0a046.html	20集全
当我们同在一起	-	2009-11-30	优酷开播:2011-08-08	新加坡	都市 / 言情 / 时装	-	欧萱 / 戴阳天 / 黄俊雄 / 郭蕙雯 / 周颖	1,278,938	http://www.youku.com/show_page/id_z9e8bb8deed5b11df97c0.html	35集全
塞外奇侠	Legend Of The White Hair Brides/新白发魔女传	1996-02-06	-	新加坡	武侠 / 言情 / 古装	-	黄碧仁 / 黄嫊方 / 郭淑贤 / 秦伟 / 沈辉豪	1,197,164	http://www.youku.com/show_page/id_zcc1687dc962411de83b1.html	21集全
最火搭档2	Unriddle 2/最火搭档 第二部	2012-03-07	-	新加坡	剧情 / 警匪 / 悬疑	-	瑞恩 / 郑斌辉 / 袁帅 / 詹金泉 / 马艺瑄	1,089,120	http://www.youku.com/show_page/id_zafd8b98466a911e1b318.html	20集全
小孩不笨	I Not Stupid	2002-02-09	-	新加坡	儿童 / 家庭	-	李创锐 / 洪赐健 / 梁智强 / 洪慧敏	1,022,872	http://www.youku.com/show_page/id_zcbfd5154962411de83b1.html	18集全
糊里糊涂爱上它	我爱狐狸精	2012-05-01	-	新加坡	神话 / 言情	-	夏如芝 / 黄俊雄 / 周颖 / 张震寰	944,367	http://www.youku.com/show_page/id_z4ea7039e94ff11e1b52a.html	20集全
迷幻特警	The Invincible Squad	2007-01-01	-	新加坡	警匪 / 悬疑	-	谢韶光 / 郭妃丽 / 王建复 / 郑各评 / 麦皓为	917,785	http://www.youku.com/show_page/id_zfc52afe255f011e0a046.html	13集全
破茧而出	Metamorphosis 　/破茧而出 新加坡版	2008-09-22	-	新加坡	警匪	-	陈汉玮 / 瑞恩 / 王沺裁 / 林湘萍 / 许立桦	844,014	http://www.youku.com/show_page/id_zcbfd168a962411de83b1.html	20集全
真心英雄	True Heroes	-	-	新加坡	警匪 / 时装	-	李铭顺 / 吴振宇 / 郭妃丽 / 林益民 / 欧萱	828,569	http://www.youku.com/show_page/id_zcbfd6fae962411de83b1.html	25集全
幸福双人床	Mars Vs Venus	2007-05-01	优酷开播:2010-08-13	新加坡	家庭 / 搞笑 / 言情	-	郑斌辉 / 乐瑶 / 刘子绚 / 陈丽贞 / 潘竖钦	803,964	http://www.youku.com/show_page/id_zcbfd56cc962411de83b1.html	20集全
金牌师爷	点对姻缘嫁错郎	2007-11-01	优酷开播:2010-08-13	新加坡	言情 / 古装	-	周初明 / 陈秀环 / 许晴 / 李天赐 / 蓝钦喜	769,266	http://www.youku.com/show_page/id_z5b6c150ea9d011df97c0.html	30集全
白蛇后传之人间有爱	白蛇后传	-	-	新加坡	神话 / 古装	-	曹国辉 / 林益盛 / 刘秋莲 / 黄愫芳 / 严丙量	764,040	http://www.youku.com/show_page/id_zcc17b486962411de83b1.html	20集全
刑警二人组	-	2006-06-12	-	新加坡	剧情 / 警匪 / 时装	-	陈泓宇 / 郑斌辉 / 戚玉武 / 李锦梅 / 欧萱	763,214	http://www.youku.com/show_page/id_zcbfd52bc962411de83b1.html	20集全
星锁	Looking for Stars	2000-12-27	-	新加坡	搞笑 / 言情	-	范文芳 / 李铭顺 / 姚玟隆 / 许美珍 / 邝佩绮	760,904	http://www.youku.com/show_page/id_zcbfd526c962411de83b1.html	12集全
一路风尘	-	2007-08-07	-	新加坡	言情 / 时装	-	万梓良 / 范文芳 / 李铭顺 / 林晓佩 / 陈丽贞	743,722	http://www.youku.com/show_page/id_zcbfbf426962411de83b1.html	41集全
无炎的爱	Always on My Mind	2003-11-17	-	新加坡	都市 / 言情 / 时装	-	范文芳 / 郑斌辉 / 李铭顺 / 李锦梅 / 陈靓瑄	706,703	http://www.youku.com/show_page/id_zcbff1642962411de83b1.html	22集全
四个门牌一个梦	Love Thy Neighbour	2011-09-27	优酷开播:2011-09-28	新加坡	剧情 / 搞笑 / 言情	-	夏雨 / 林梅娇 / 陈靓瑄 / 黄炯耀 / 赖怡伶	689,578	http://www.youku.com/show_page/id_za3a3a57ed8f711e0a046.html	20集全
添丁发财	Baby Bonus	2009-09-30	-	新加坡	家庭 / 时装	-	朱厚任 / 林梅娇 / 林明伦 / 刘子绚 / 向云	680,561	http://www.youku.com/show_page/id_z94ee2384d65f11de97c0.html	23集全
镜中人	Beautiful Illusions	2005-04-18	-	新加坡	悬疑 / 言情	-	范文芳 / 王沺裁 / 林丽云 / 林湘萍 / 戚玉武	661,612	http://www.youku.com/show_page/id_zcbfcf736962411de83b1.html	20集全
