法网狙击	Friendly Fire/燃情阻击	2012-12-18	-	香港	剧情 / 警匪 / 时装	-	谢天华 / 杨怡 / 森美 / 陈敏之 / 阮兆祥	345,766,522	http://www.youku.com/show_page/id_z6283e0ea27c011e2b16f.html	26集全
雷霆扫毒	Highs And Lows	2012-09-24	优酷开播:2012-09-25	香港	剧情 / 警匪 / 悬疑 / 都市	-	林峯 / 苗侨伟 / 徐子珊 / 官恩娜 / 吴绮莉	328,135,086	http://www.youku.com/show_page/id_z1d8c3418a3a111e1b52a.html	30集全
好心作怪	A Change Of Heart/一切从心开始	2013-06-04	优酷开播:2013-06-04	香港	剧情 / 悬疑 / 时装	-	苗侨伟 / 黄宗泽 / 周丽淇 / 万绮雯 / 黄智雯	324,779,297	http://www.youku.com/show_page/id_z95dd9e68434511e2b356.html	30集全
寻秦记	A Step into the Past	2001-10-15	优酷开播:2010-03-22	香港	神话 / 言情 / 古装	-	古天乐 / 江华 / 林峯 / 宣萱 / 郭羡妮	317,994,312	http://www.youku.com/show_page/id_zcbfb7c9e962411de83b1.html	40集全
On Call 36小时 Ⅱ	The Hippocratic Crush 2/On Call 36小时 2	2013-11-04	优酷开播:2013-11-04	香港	剧情 / 言情 / 时装	-	吴启华 / 马国明 / 杨怡 / 黄智雯 / 朱千雪	309,871,311	http://www.youku.com/show_page/id_z6c9e24d2435e11e2b16f.html	30集全
大药坊	All That is Bitter is Sweet	2014-09-08	优酷开播:2014-09-08	香港	剧情 / 言情	-	钟嘉欣 / 陈展鹏 / 黄浩然 / 唐诗咏 / 敖嘉年	308,226,815	http://www.youku.com/show_page/id_zbc9e349c670011e3b8b7.html	30集全
情逆三世缘	Always And Ever	2013-08-12	优酷开播:2013-08-12	香港	剧情 / 言情	-	欧阳震华 / 关咏荷 / 敖嘉年 / 黄智雯 / 苟芸慧	303,307,910	http://www.youku.com/show_page/id_zcf87e636436911e296ac.html	31集全
我和僵尸有个约会 第二部	My Date With A Vampire 2/超能探长 2	2000-03-06	优酷开播:2011-03-19	香港	悬疑 / 言情	-	万绮雯 / 尹天照 / 任达华 / 黄卓玲 / 张慧仪	296,962,671	http://www.youku.com/show_page/id_zcbfd3db8962411de83b1.html	43集全
仁心解码Ⅱ	A Great Way To Care II/仁心解码2	2013-03-18	优酷开播:2013-03-19	香港	剧情 / 都市 / 言情 / 时装	-	方中信 / 杨怡 / 蒙嘉慧 / 陈茵媺 / 黄智贤	281,392,625	http://www.youku.com/show_page/id_z247c63b2433b11e29013.html	25集全
爱·回家	Come Home Love/成身庆合合	2012-05-14	优酷开播:2012-05-22	香港	剧情 / 家庭 / 搞笑 / 时装	-	刘丹 / 徐荣 / 黎诺懿 / 郭少芸 / 朱慧敏	280,052,214	http://www.youku.com/show_page/id_z7ab92e3462ab11e196ac.html	更新至739
醋娘子	Lady Sour	2014-12-01	优酷开播:2014-12-01	香港	剧情 / 搞笑 / 偶像 / 言情 / 古装	-	胡杏儿 / 吴卓羲 / 罗仲谦 / 岑丽香 / 黄淑仪	259,831,028	http://www.youku.com/show_page/id_z3dd6209c573e11e38b3f.html	20集全
老表，你好Hea！	Come on, Cousin	2014-10-20	优酷开播:2014-10-20	香港	剧情 / 搞笑 / 时装	-	郭晋安 / 王祖蓝 / 万绮雯 / 王菀之 / 张继聪	251,417,435	http://www.youku.com/show_page/id_zd32e470a503a11e4abda.html	30集全
法证先锋	Frensic Heroes/法证先锋 第一部	2006-06-13	优酷开播:2010-03-22	香港	剧情 / 警匪 / 都市 / 言情 / 时装	-	欧阳震华 / 蒙嘉慧 / 林文龙 / 钟嘉欣 / 曹永廉	245,686,589	http://www.youku.com/show_page/id_zcbfb7a5a962411de83b1.html	25集全
载得有情人	Rear Mirror/男大当婚	2014-08-11	优酷开播:2014-08-11	香港	剧情 / 言情 / 时装	-	黎耀祥 / 苏玉华 / 郑耀轩 / 洪永城 / 唐诗咏	236,594,297	http://www.youku.com/show_page/id_zaa88e088b89311e3a705.html	20集全
My盛Lady	Bounty Lady	2013-11-25	优酷开播:2013-11-25	香港	剧情 / 搞笑 / 时装	-	黄子华 / 徐子珊 / 陈敏之 / 阮兆祥 / 高海宁	213,720,826	http://www.youku.com/show_page/id_z085433aaf4ce11e2a705.html	20集全
读心神探	Every Move You Make/读心专家	2010-10-04	优酷开播:2010-12-01	香港	剧情 / 警匪	-	林保怡 / 田蕊妮 / 黄宗泽 / 黎诺懿 / 许家杰	212,316,497	http://www.youku.com/show_page/id_z9736a0382cec11df97c0.html	20集全
舌剑上的公堂	Return Of The Silver Tongue/疙瘩老娘	2013-12-17	优酷开播:2013-12-18	香港	剧情 / 搞笑 / 言情 / 古装	-	郭晋安 / 麦长青 / 田蕊妮 / 黄翠如 / 林晓峰	207,290,882	http://www.youku.com/show_page/id_z763a92b6146c11e3b8b7.html	25集全
回到三国	Three Kingdoms RPG	2012-07-09	优酷开播:2012-07-10	香港	科幻 / 搞笑 / 言情 / 古装	-	马国明 / 林峯 / 杨怡 / 陈敏之 / 梁嘉琪	196,298,658	http://www.youku.com/show_page/id_zf8031888ff6e11df97c0.html	25集全
大太监	The Confidant/大太监李连英	2012-11-05	优酷开播:2012-11-06	香港	历史 / 古装	-	黎耀祥 / 米雪 / 邵美琪 / 李诗韵 / 曹永廉	194,621,325	http://www.youku.com/show_page/id_zd7437a62ff7211df97c0.html	33集全
少年四大名捕	The Four/少年四大名捕 08版	2008-09-22	优酷开播:2010-12-01	香港	武侠 / 言情 / 古装	-	林峯 / 吴卓羲 / 马国明 / 陈键锋 / 李诗韵	189,275,462	http://www.youku.com/show_page/id_zcbfc4ef8962411de83b1.html	25集全
护花危情	Witness Insecurity/Miss Cool外传	2012-07-03	-	香港	警匪 / 言情 / 时装	-	黄宗泽 / 钟嘉欣 / 秦沛 / 蒋志光 / 李成昌	168,374,711	http://www.youku.com/show_page/id_zf36ac4d0a89911e1a19e.html	20集全
学警狙击	E.U.	2009-02-16	-	香港	警匪 / 言情 / 时装	-	苗侨伟 / 吴卓羲 / 周海媚 / 江若琳 / 谢天华	166,769,974	http://www.youku.com/show_page/id_zcc176864962411de83b1.html	30集全
巨轮	Brother's Keeper	2013-09-24	优酷开播:2013-09-24	香港	剧情 / 言情 / 时装	-	陈展鹏 / 萧正楠 / 钟嘉欣 / 田蕊妮 / 李司棋	162,943,641	http://www.youku.com/show_page/id_z8cce075c436511e29013.html	32集全
金枝欲孽Ⅱ	War And Beauty Ⅱ/金枝欲孽2	2013-04-22	优酷开播:2013-04-22	香港	言情 / 古装	-	陈豪 / 邓萃雯 / 伍咏薇 / 关礼杰 / 蔡少芬	160,532,035	http://www.youku.com/show_page/id_z84933d227a4911e1b2ac.html	30集全
宦海奇官	Noblesse Oblige/官场浮世绘	2014-12-29	优酷开播:2014-12-30	香港	剧情 / 悬疑 / 搞笑 / 古装	-	杨怡 / 马国明 / 陈山聪 / 袁伟豪 / 谢雪心	158,975,205	http://www.youku.com/show_page/id_z8b2fc7f05d9e11e4b432.html	21集全
我和僵尸有个约会 第三部 永恒国度	My Date With A Vampire Ⅲ/我和僵尸有个约会 Ⅲ	2004-10-25	优酷开播:2010-11-08	香港	悬疑 / 言情	-	万绮雯 / 尹天照 / 陈启泰 / 郑浩南 / 陈炜	157,645,742	http://www.youku.com/show_page/id_zcbfb9030962411de83b1.html	38集全
冲上云霄	Triumph In The Skies/壮志凌云	2003-10-27	优酷开播:2010-03-22	香港	都市 / 言情 / 时装	-	吴镇宇 / 陈慧珊 / 马德钟 / 胡杏儿 / 吴卓羲	150,760,840	http://www.youku.com/show_page/id_zcbfb7b36962411de83b1.html	40集全
公主嫁到	Can't Buy Me Love/宫心计2公主嫁到	2010-08-23	优酷开播:2010-12-01	香港	古装	-	佘诗曼 / 陈豪 / 陈法拉 / 关菊英 / 马国明	149,978,406	http://www.youku.com/show_page/id_z7af9445a0fac11df97c0.html	32集全
飞虎	Tiger Cubs	2012-06-24	优酷开播:2012-06-25	香港	剧情 / 警匪 / 都市 / 时装	-	马德钟 / 宣萱 / 梁烈唯 / 罗仲谦 / 王浩信	144,465,878	http://www.youku.com/show_page/id_zf46b3230a3a211e1b2ac.html	13集全
古灵精探 B	D.I.E Again/古灵精探 Ⅱ	2009-08-17	优酷开播:2010-03-22	香港	警匪 / 悬疑 / 时装	-	郭晋安 / 郭羡妮 / 胡定欣 / 郭政鸿 / 陈美诗	143,554,370	http://www.youku.com/show_page/id_zcc17ac34962411de83b1.html	25集全
缺宅男女	L'Escargot/抉宅男女	2012-01-03	-	香港	都市 / 家庭 / 时装	-	苗侨伟 / 郭羡妮 / 吴卓羲 / 钟嘉欣 / 谢天华	142,168,447	http://www.youku.com/show_page/id_ze1541ae4ff7b11df97c0.html	30集全
谈情说案	The Mysteries of Love	2010-05-24	优酷开播:2010-12-01	香港	剧情 / 警匪 / 悬疑 / 言情	-	林峯 / 杨怡 / 马国明 / 廖碧儿 / 罗乐林	130,742,011	http://www.youku.com/show_page/id_z3ebcf6542cde11df97c0.html	25集全
洗冤录 II	Witness To A Prosecution II/法医宋慈	2003-02-24	优酷开播:2010-03-22	香港	悬疑 / 古装	-	欧阳震华 / 佘诗曼 / 滕丽名 / 欧锦棠 / 汪琳	126,879,331	http://www.youku.com/show_page/id_zcbfb872a962411de83b1.html	22集全
老表，你好嘢！	Inbound Troubles	2013-01-14	优酷开播:2013-01-15	香港	剧情 / 搞笑 / 时装	-	郭晋安 / 王祖蓝 / 万绮雯 / 王菀之 / 张继聪	126,440,688	http://www.youku.com/show_page/id_zb831907a433e11e2a19e.html	20集全
名媛望族	Silver Spoon,Sterling shackles	2012-10-22	-	香港	言情 / 时装	-	刘松仁 / 陈玉莲 / 马国明 / 杨怡 / 吴卓羲	123,750,004	http://www.youku.com/show_page/id_z80ddbf84a3c211e19498.html	40集全
金枝欲孽	War And Beauty	2004-08-23	优酷开播:2010-03-22	香港	言情 / 古装	-	黎姿 / 佘诗曼 / 邓萃雯 / 陈豪 / 林保怡	104,348,523	http://www.youku.com/show_page/id_zcbfb7bae962411de83b1.html	30集全
On Call 36小时	The Hippocratic Crush 1	2012-02-13	-	香港	剧情 / 言情 / 时装	-	杨怡 / 马国明 / 罗仲谦 / 黄智雯 / 袁伟豪	101,692,131	http://www.youku.com/show_page/id_zaec3b0c056f111e1b16f.html	25集全
